id,name,lat,lon,idname
LUV,Karel Sadsuitubun Airport,-5.760747,132.760779,LUV (Karel Sadsuitubun Airport)
DEM,Dembi Dolo,8.583333,34.883333,DEM (Dembi Dolo)
LUX,Luxembourg,49.623333,6.204444,LUX (Luxembourg)
LUW,Bubung,-1.038056,122.772778,LUW (Bubung)
LUZ,Lublin,51.231389,22.690556,LUZ (Lublin)
UGC,Urgench International,41.584167,60.641667,UGC (Urgench International)
DET,Coleman A. Young Municipal Airport,42.409199,-83.009903,DET (Coleman A. Young Municipal Airport)
DEX,Nop Goliat Dekai,-4.855278,139.483889,DEX (Nop Goliat Dekai)
LVI,Harry Mwanga Nkumbula International,-17.821667,25.822778,LVI (Harry Mwanga Nkumbula International)
DFW,Dallas/Fort Worth International,32.896944,-97.038056,DFW (Dallas/Fort Worth International)
LWB,Greenbrier Valley,37.856111,-80.401944,LWB (Greenbrier Valley)
LWE,Wonopito,-8.361944,123.438611,LWE (Wonopito)
DGA,Dangriga,16.9825,-88.231111,DGA (Dangriga)
LWN,Shirak,40.750278,43.859444,LWN (Shirak)
DGE,Mudgee,-32.565,149.609444,DGE (Mudgee)
LWO,Lviv Danylo Halytskyi International,49.8125,23.956111,LWO (Lviv Danylo Halytskyi International)
LWS,Lewiston–Nez Perce County,46.375556,-117.01361,LWS (Lewiston–Nez Perce County)
DGO,Durango International,24.124167,-104.52806,DGO (Durango International)
UIB,El Caraño,5.690833,-76.641111,UIB (El Caraño)
LWY,Lawas,4.849722,115.408056,LWY (Lawas)
DGT,Sibulan,9.334444,123.3,DGT (Sibulan)
LXA,Lhasa Gonggar,29.298056,90.912222,LXA (Lhasa Gonggar)
UII,Útila,16.112222,-86.883056,UII (Útila)
UIH,Phu Cat,13.953889,109.043333,UIH (Phu Cat)
LXG,Louang Namtha,20.962222,101.403056,LXG (Louang Namtha)
UIO,Mariscal Sucre International,-0.124131,-78.358543,UIO (Mariscal Sucre International)
UIN,Quincy Regional,39.940833,-91.194444,UIN (Quincy Regional)
UIP,Quimper–Cornouaille,47.975,-4.167778,UIP (Quimper–Cornouaille)
DHI,Dhangadhi,28.754722,80.5825,DHI (Dhangadhi)
LXS,Lemnos International,39.916944,25.236389,LXS (Lemnos International)
LXR,Luxor International,25.671111,32.706667,LXR (Luxor International)
DHM,Dharamsala airport,32.165278,76.260556,DHM (Dharamsala airport)
DHN,Dothan Regional,31.321389,-85.449722,DHN (Dothan Regional)
LYB,Edward Bodden Airfield,19.666667,-80.083333,LYB (Edward Bodden Airfield)
LYA,Luoyang Beijiao,34.741389,112.389444,LYA (Luoyang Beijiao)
LYC,Lycksele,64.548333,18.716111,LYC (Lycksele)
LYH,Lynchburg Regional,37.326667,-79.200556,LYH (Lynchburg Regional)
LYG,Lianyungang Baitabu,34.571944,118.873889,LYG (Lianyungang Baitabu)
DIB,Dibrugarh,27.483333,95.016667,DIB (Dibrugarh)
LYI,Linyi Shubuling,35.049444,118.411944,LYI (Linyi Shubuling)
DIE,Arrachart,-12.349444,49.291667,DIE (Arrachart)
LYP,Faisalabad International,31.365,72.994722,LYP (Faisalabad International)
DIG,Diqing Shangri-La,27.791667,99.678056,DIG (Diqing Shangri-La)
LYR,"Svalbard Airport, Longyear",78.246111,15.465556,"LYR (Svalbard Airport, Longyear)"
DIL,Presidente Nicolau Lobato International,-8.546667,125.524722,DIL (Presidente Nicolau Lobato International)
DIK,Dickinson Theodore Roosevelt Regional,46.8,-102.8,DIK (Dickinson Theodore Roosevelt Regional)
LYS,Lyon–Saint-Exupéry,45.725556,5.081111,LYS (Lyon–Saint-Exupéry)
DIN,Dien Bien Phu,21.4,103.004444,DIN (Dien Bien Phu)
UKA,Ukunda,-4.296667,39.571389,UKA (Ukunda)
DIR,Aba Tenna Dejazmach Yilma International,9.624722,41.854167,DIR (Aba Tenna Dejazmach Yilma International)
DIQ,Divinópolis,-20.180833,-44.871111,DIQ (Divinópolis)
UKB,Kobe,34.632778,135.223889,UKB (Kobe)
UKG,Ust-Kuyga,70.010556,135.6425,UKG (Ust-Kuyga)
DIU,Diu,20.713889000000002,70.921667,DIU (Diu)
DIW,Mawella Lagoon,5.990833,80.733333,DIW (Mawella Lagoon)
UKK,Oskemen,50.036667,82.493611,UKK (Oskemen)
LZC,Lázaro Cárdenas,18.001667,-102.22056,LZC (Lázaro Cárdenas)
DIY,Diyarbakır,37.893889,40.201111,DIY (Diyarbakır)
LZH,Liuzhou Bailian,24.207778,109.391389,LZH (Liuzhou Bailian)
DJB,Sultan Thaha,-1.638056,103.644444,DJB (Sultan Thaha)
DJE,Djerba–Zarzis International,33.875,10.775556,DJE (Djerba–Zarzis International)
LZO,Luzhou Yunlong,28.852778,105.393333,LZO (Luzhou Yunlong)
DJG,Tiska,24.292778,9.4525,DJG (Tiska)
LZN,Matsu Nangan,26.159444,119.958333,LZN (Matsu Nangan)
UKX,Ust-Kut,56.857222,105.731667,UKX (Ust-Kut)
DJJ,Sentani International,-2.576944,140.516389,DJJ (Sentani International)
LZY,Nyingchi Mainling,29.305833,94.338611,LZY (Nyingchi Mainling)
ULB,Ulei,-16.329722,168.301111,ULB (Ulei)
ULD,Prince Mangosuthu Buthelezi Airport,-28.320601,31.4165,ULD (Prince Mangosuthu Buthelezi Airport)
ULH,Prince Abdul Majeed bin Abdulaziz Domestic,26.489722,38.105278,ULH (Prince Abdul Majeed bin Abdulaziz Domestic)
ULG,Ölgii,48.993333,89.921944,ULG (Ölgii)
ULK,Lensk,60.722778,114.821944,ULK (Lensk)
ULN,Chinggis Khaan International,47.843056,106.766667,ULN (Chinggis Khaan International)
ULP,Quilpie,-26.609444,144.258056,ULP (Quilpie)
ULO,Ulaangom,49.970556,92.081111,ULO (Ulaangom)
ULV,Ulyanovsk Baratayevka,54.268333,48.226667,ULV (Ulyanovsk Baratayevka)
ULX,Ulusaba,-24.783056,31.354444,ULX (Ulusaba)
ULZ,Donoi,47.710278,96.525556,ULZ (Donoi)
ULY,Ulyanovsk Vostochny,54.401111,48.802778000000004,ULY (Ulyanovsk Vostochny)
DKR,Léopold Sédar Senghor International,14.7425,-17.493333,DKR (Léopold Sédar Senghor International)
UME,Umeå,63.791944,20.282778,UME (Umeå)
DKS,Dikson,73.517778,80.376944,DKS (Dikson)
DLA,Douala International,4.006111,9.719444,DLA (Douala International)
DLC,Dalian Zhoushuizi International,38.965556,121.538611,DLC (Dalian Zhoushuizi International)
UMS,Ust-Maya,60.356111,134.434722,UMS (Ust-Maya)
DLE,Dole–Jura,47.042778,5.435,DLE (Dole–Jura)
DLG,Dillingham,59.044722,-158.50556,DLG (Dillingham)
DLI,Lien Khuong,11.75,108.366667,DLI (Lien Khuong)
DLH,Duluth International,46.842222,-92.193611,DLH (Duluth International)
DLM,Dalaman,36.713056,28.7925,DLM (Dalaman)
DLU,Dali,25.650278,100.319444,DLU (Dali)
UNG,Kiunga,-6.125,141.285556,UNG (Kiunga)
DLY,Dillon's Bay,-18.770556,169.003889,DLY (Dillon's Bay)
DLZ,Dalanzadgad,43.591667,104.429722,DLZ (Dalanzadgad)
UNK,Unalakleet,63.888333,-160.79889,UNK (Unalakleet)
UNN,Ranong,9.7775,98.585556,UNN (Ranong)
DMB,Taraz,42.853611,71.303611,DMB (Taraz)
DMD,Doomadgee,-17.940278,138.821667,DMD (Doomadgee)
DME,Domodedovo International,55.408889,37.906389,DME (Domodedovo International)
DMK,Don Mueang International,13.9125,100.606667,DMK (Don Mueang International)
DMM,King Fahd International,26.471111,49.797778,DMM (King Fahd International)
DMU,Dimapur,25.8825,93.774444,DMU (Dimapur)
UOL,Pogogul,1.104722,121.415278,UOL (Pogogul)
DND,Dundee,56.452222,-3.025556,DND (Dundee)
DNH,Dunhuang,40.16353,94.808419,DNH (Dunhuang)
DNK,Dnipropetrovsk International,48.357222,35.100556,DNK (Dnipropetrovsk International)
DNR,Dinard–Pleurtuit–Saint-Malo,48.587778,-2.08,DNR (Dinard–Pleurtuit–Saint-Malo)
UPG,Sultan Hasanuddin International,-5.061667,119.554167,UPG (Sultan Hasanuddin International)
DNZ,Denizli Çardak,37.785556,29.701389,DNZ (Denizli Çardak)
UPN,Uruapan International,19.396667,-102.03917,UPN (Uruapan International)
DOB,Dobo,-5.772778,134.211111,DOB (Dobo)
DOD,Dodoma,-6.170556,35.7525,DOD (Dodoma)
DOH,Hamad International,25.274444,51.608333,DOH (Hamad International)
DOL,Deauville – Normandie,49.363333,0.16,DOL (Deauville – Normandie)
DOM,Douglas–Charles,15.546944,-61.3,DOM (Douglas–Charles)
DOU,Dourados,-22.201389,-54.926667,DOU (Dourados)
MAA,Chennai International,12.994444,80.180556,MAA (Chennai International)
MAB,Marabá,-5.368611,-49.138056,MAB (Marabá)
DOY,Dongying Shengli,37.507778,118.789444,DOY (Dongying Shengli)
MAD,Adolfo Suárez Madrid–Barajas,40.493611,-3.566667,MAD (Adolfo Suárez Madrid–Barajas)
MAG,Madang,-5.207222,145.788611,MAG (Madang)
MAF,Midland International Air and Space Port,31.9425,-102.20194,MAF (Midland International Air and Space Port)
MAH,Menorca,39.8625,4.218611,MAH (Menorca)
MAJ,Marshall Islands International,7.064722,171.271944,MAJ (Marshall Islands International)
MAM,Matamoros International,25.77,-97.525278,MAM (Matamoros International)
